Wild1,Wild2,Wild3,Specials
_,_,_,no
_,_,_,yes
**,?,*,yes
?,_,*,no
**,_,*,yes
?,*,*,no
**,*,_,no
**,**,**,yes
**,*,?,no
*,?,*,yes
_,*,_,no
**,_,?,no
?,*,**,yes
_,**,*,yes
**,_,_,yes
*,**,**,yes
**,**,*,yes
**,?,**,yes
_,*,*,yes
*,_,?,yes
_,?,*,no
_,*,?,yes
_,?,**,no
**,**,?,no
**,*,?,yes
?,?,_,no
**,*,**,no
_,**,_,yes
**,*,*,no
*,_,?,no
?,**,?,yes
?,?,*,no
?,**,**,yes
?,*,?,yes
?,*,**,no
_,_,**,no
**,_,*,no
_,_,**,yes
**,*,*,yes
*,_,*,no
**,?,_,no
?,**,**,no
**,_,**,yes
*,?,**,no
**,**,**,no
?,_,_,no
_,?,*,yes
?,**,_,yes
_,?,?,no
_,*,*,no
_,_,?,yes
_,_,?,no
*,**,*,yes
*,?,_,yes
**,?,**,no
?,_,_,yes
*,*,?,no
?,*,_,yes
?,_,?,yes
*,_,_,yes
*,_,*,yes
*,?,_,no
*,*,_,yes
*,_,_,no
_,_,*,no
**,_,_,no
*,**,?,yes
**,?,*,no
?,_,?,no
_,?,?,yes
?,*,_,no
**,**,_,no
*,**,?,no
**,**,?,yes
?,**,?,no
?,?,?,yes
*,*,**,yes
*,**,_,no
*,*,**,no
_,*,?,no
_,*,**,yes
_,*,_,yes
*,?,**,yes
**,?,_,yes
*,?,?,no
?,?,?,no
*,?,*,no
**,**,_,yes
**,_,?,yes
*,**,**,no
*,*,_,no
*,*,*,yes
?,_,**,yes
_,_,*,yes
*,*,?,yes
?,**,*,no
_,**,**,no
*,_,**,yes
**,**,*,no
**,?,?,no
?,**,_,no
**,?,?,yes
_,**,**,yes
?,?,**,yes
?,?,_,yes
*,*,*,no
_,*,**,no
*,**,_,yes
_,?,_,yes
?,_,*,yes
**,*,_,yes
_,**,*,no
*,**,*,no
?,?,*,yes
_,**,?,no
*,_,**,no
?,?,**,no
?,**,*,yes
*,?,?,yes
_,**,?,yes
?,_,**,no
_,**,_,no
?,*,?,no
**,*,**,yes
_,?,_,no
_,?,**,yes
?,*,*,yes
**,_,**,no
