Wild1,Wild2,Wild3,Specials
_,_,_,no
_,_,_,yes
**,?,*,yes
?,_,_,yes
*,_,*,no
**,*,?,no
?,?,*,yes
*,?,_,no
**,?,_,yes
**,*,_,yes
**,_,_,no
_,_,?,yes
**,_,?,no
_,*,_,no
*,*,*,no
?,**,*,yes
*,?,?,no
_,?,_,no
*,_,?,no
?,_,*,yes
?,*,*,yes
?,*,?,no
**,*,*,yes
?,?,*,no
_,**,?,no
*,?,*,no
**,**,_,no
?,_,?,yes
?,?,?,no
_,?,*,yes
?,**,?,yes
?,*,_,no
_,?,?,yes
**,**,?,yes
?,?,_,no
**,?,?,no
**,**,?,no
?,**,*,no
_,*,_,yes
_,**,?,yes
*,?,*,yes
?,**,?,no
?,*,*,no
*,*,?,no
_,?,?,no
_,_,?,no
_,**,*,no
*,?,_,yes
_,_,*,yes
**,*,*,no
*,**,_,no
**,_,?,yes
**,*,?,yes
_,_,*,no
?,*,?,yes
*,**,?,yes
_,**,_,no
**,*,_,no
**,_,*,yes
*,**,*,no
?,_,?,no
_,*,?,yes
*,*,?,yes
*,?,?,yes
_,**,*,yes
**,**,*,yes
_,*,?,no
?,_,*,no
*,*,_,yes
*,*,_,no
**,**,_,yes
**,?,*,no
?,?,?,yes
_,*,*,yes
_,?,*,no
*,_,?,yes
*,_,_,yes
_,?,_,yes
*,_,_,no
*,**,_,yes
*,*,*,yes
?,**,_,yes
**,**,*,no
*,**,*,yes
_,*,*,no
?,**,_,no
**,_,*,no
?,?,_,yes
*,_,*,yes
*,**,?,no
**,?,_,no
**,_,_,yes
_,**,_,yes
?,*,_,yes
**,?,?,yes
?,_,_,no
